,Problem,Level,Day,Solved Giannis,Solved Tasos
0,1614,Easy,0,Yes,No
1,2,Medium,1,Yes,No
2,1,Easy,1,Yes,No
3,7,Easy,1,Yes,No
4,13,Easy,2,Yes,No
5,3,Medium,2,Yes,No
6,9,Easy,2,Yes,No
7,14,Easy,3,Yes,No
8,20,Easy,3,Yes,No
9,5,Medium,3,No,No
10,6,Medium,4,No,No
11,21,Easy,4,Yes,No
12,26,Easy,4,Yes,No
13,28,Easy,5,Yes,No
14,8,Medium,5,Yes,No
15,27,Easy,5,Yes,No
16,12,Medium,6,Yes,No
17,11,Medium,6,No,No
18,4,Hard,6,Yes,No
19,53,Easy,6,No,No
20,38,Easy,6,Yes,No
21,35,Easy,6,Yes,No
22,67,Easy,7,Yes,No
23,16,Medium,7,No,No
24,66,Easy,7,No,No
25,58,Easy,7,No,No
26,10,Hard,7,No,No
27,15,Medium,7,No,No
28,69,Easy,8,No,No
29,83,Easy,8,No,No
30,70,Easy,8,No,No
31,18,Medium,8,No,No
32,17,Medium,8,No,No
33,23,Hard,8,No,No
34,19,Medium,9,No,No
35,22,Medium,9,No,No
36,25,Hard,9,No,No
37,100,Easy,9,No,No
38,101,Easy,9,No,No
39,88,Easy,9,No,No
40,30,Hard,10,No,No
41,104,Easy,10,No,No
42,107,Easy,10,No,No
43,108,Easy,10,No,No
44,24,Medium,10,No,No
45,29,Medium,10,No,No
46,112,Easy,11,No,No
47,110,Easy,11,No,No
48,111,Easy,11,No,No
49,31,Medium,11,No,No
50,32,Hard,11,No,No
51,33,Medium,11,No,No
52,36,Medium,12,No,No
53,34,Medium,12,No,No
54,118,Easy,12,No,No
55,121,Easy,12,No,No
56,119,Easy,12,No,No
57,37,Hard,12,No,No
58,39,Medium,13,No,No
59,41,Hard,13,No,No
60,122,Easy,13,No,No
61,40,Medium,13,No,No
62,125,Easy,13,No,No
63,136,Easy,13,No,No
64,42,Hard,14,No,No
65,141,Easy,14,No,No
66,157,Easy,14,No,No
67,46,Medium,14,No,No
68,43,Medium,14,No,No
69,155,Easy,14,No,No
70,160,Easy,15,No,No
71,47,Medium,15,No,No
72,44,Hard,15,No,No
73,167,Easy,15,No,No
74,168,Easy,15,No,No
75,48,Medium,15,No,No
76,49,Medium,16,No,No
77,50,Medium,16,No,No
78,45,Hard,16,No,No
79,169,Easy,16,No,No
80,170,Easy,16,No,No
81,171,Easy,16,No,No
82,54,Medium,17,No,No
83,172,Easy,17,No,No
84,175,Easy,17,No,No
85,176,Easy,17,No,No
86,51,Hard,17,No,No
87,55,Medium,17,No,No
88,181,Easy,18,No,No
89,56,Medium,18,No,No
90,182,Easy,18,No,No
91,57,Medium,18,No,No
92,183,Easy,18,No,No
93,52,Hard,18,No,No
94,61,Medium,19,No,No
95,59,Medium,19,No,No
96,193,Easy,19,No,No
97,191,Easy,19,No,No
98,60,Hard,19,No,No
99,190,Easy,19,No,No
100,63,Medium,20,No,No
101,65,Hard,20,No,No
102,197,Easy,20,No,No
103,196,Easy,20,No,No
104,195,Easy,20,No,No
105,62,Medium,20,No,No
106,203,Easy,21,No,No
107,202,Easy,21,No,No
108,68,Hard,21,No,No
109,71,Medium,21,No,No
110,64,Medium,21,No,No
111,198,Easy,21,No,No
112,72,Hard,22,No,No
113,74,Medium,22,No,No
114,206,Easy,22,No,No
115,205,Easy,22,No,No
116,73,Medium,22,No,No
117,204,Easy,22,No,No
118,217,Easy,23,No,No
119,225,Easy,23,No,No
120,75,Medium,23,No,No
121,77,Medium,23,No,No
122,219,Easy,23,No,No
123,76,Hard,23,No,No
124,231,Easy,24,No,No
125,84,Hard,24,No,No
126,78,Medium,24,No,No
127,79,Medium,24,No,No
128,226,Easy,24,No,No
129,232,Easy,24,No,No
130,85,Hard,25,No,No
131,80,Medium,25,No,No
132,235,Easy,25,No,No
133,81,Medium,25,No,No
134,237,Easy,25,No,No
135,234,Easy,25,No,No
136,82,Medium,26,No,No
137,87,Hard,26,No,No
138,242,Easy,26,No,No
139,86,Medium,26,No,No
140,243,Easy,26,No,No
141,246,Easy,26,No,No
142,89,Medium,27,No,No
143,90,Medium,27,No,No
144,257,Easy,27,No,No
145,258,Easy,27,No,No
146,252,Easy,27,No,No
147,97,Hard,27,No,No
148,266,Easy,28,No,No
149,92,Medium,28,No,No
150,91,Medium,28,No,No
151,268,Easy,28,No,No
152,263,Easy,28,No,No
153,99,Hard,28,No,No
154,270,Easy,29,No,No
155,94,Medium,29,No,No
156,115,Hard,29,No,No
157,93,Medium,29,No,No
158,276,Easy,29,No,No
159,278,Easy,29,No,No
160,290,Easy,30,No,No
161,283,Easy,30,No,No
162,292,Easy,30,No,No
163,96,Medium,30,No,No
164,95,Medium,30,No,No
165,123,Hard,30,No,No
166,98,Medium,31,No,No
167,124,Hard,31,No,No
168,293,Easy,31,No,No
169,303,Easy,31,No,No
170,326,Easy,31,No,No
171,102,Medium,31,No,No
172,339,Easy,32,No,No
173,342,Easy,32,No,No
174,344,Easy,32,No,No
175,105,Medium,32,No,No
176,103,Medium,32,No,No
177,126,Hard,32,No,No
178,128,Hard,33,No,No
179,106,Medium,33,No,No
180,349,Easy,33,No,No
181,346,Easy,33,No,No
182,345,Easy,33,No,No
183,109,Medium,33,No,No
184,367,Easy,34,No,No
185,359,Easy,34,No,No
186,350,Easy,34,No,No
187,132,Hard,34,No,No
188,113,Medium,34,No,No
